,review_id,course_id,course_name
504,8797,3545,[C1101] Contemporary Civilization
505,8798,1582,[FYSB BC1156/69] First Year Seminar: Legacy of the Mediterranean I
506,8799,2841,[HIST BC3778] History of West Africa
507,8800,1021,Evaluation of Evidence
508,8801,1633,[HIST W3441] Making of the Modern American Landscape
509,8802,1633,[HIST W3441] Making of the Modern American Landscape
510,8803,2842,Costume and Mask Workshop
511,8804,1530,[ASCM V2001] Introduction to Major Topics in the Civilizations of the Middle East and India
512,8805,2637,[HIST W3800] Gandhi's India
513,8806,3354,[AHUM V3400] Colloquium on Major Texts
514,8807,2845,[ENGL W4501] 20th Century British Literature- Embattled Modernism: Sexuality and Violence
515,8808,2846,Int. Spanish II
516,8809.0,,
517,8812,153,[W1111] Introduction to Statistics (A)
518,8814,2847,Stat W1111 Recitation
519,8815,5185,[MATH V1102] Calculus II
520,8816,3379,[C1010] University Writing
521,8817,993,"[E1201] Design of Bridges, Buildings, and Spacecraft"
522,8818,1459,[C1403] General Chemistry I
523,8819,1707,Advanced Piano Instruction
524,8820,4746,[MATH V1201] Calculus III
525,8821,5185,[MATH V1102] Calculus II
526,8822,1908,[W1105] Principles of Economics
527,8823,3807,[COMS W1004] Intro to Computer Science- Programming in Java
528,8824,5461,[CHNS C1102] Elementary Chinese II (N)
529,8826,2848,[ASTR 3102] Extrasolar Planets & Astrobiology
530,8827,425,[ASTR 1234] The Universal Timekeeper
531,8828,2628,History of Literary Criticism II
532,8829,1964,Civil Society
533,8830,956,[POLS W3245] Race and Ethnicity in American Politics
534,8831,2849,Industry of Science
535,8832,2850,W3034 Cultural Criticism
536,8833,2850,W3034 Cultural Criticism
537,8834,1530,[ASCM V2001] Introduction to Major Topics in the Civilizations of the Middle East and India
538,8835,1852,[HIST BC4901] Re-Acting to the Past II
539,8836,924,[PSYC BC1001] Intro to Psychology
540,8838,2846,Int. Spanish II
541,8839,2676,[ENGL W3690] Deep Sea Thought
542,8841,2852,PHYS 2699: Physics Lab
543,8842,2853,Hindu Goddesses
544,8843,861,[COMS W3210] Scientific Computation I
545,8844,2775,[AHIS W4443] Baroque and Rococo Architecture 1600-1750
546,8845,1985,[MATH V1011] Surfaces and Knots
